,account,date,text,compound,positive,neutral,negative
0,BBC,Mon May 07 08:03:04 +0000 2018,"From gut microbes to the time you eat, here are five potentially surprising factors that can affect your weight.
👉… https://t.co/HhOXDdIGI5",0.2732,0.095,0.905,0.0
1,BBC,Mon May 07 07:04:03 +0000 2018,"Meet Piers and Magdelena, a deaf couple who run their own B&amp;B. 🏠🍳❤️️

https://t.co/H2iArXnZex",0.0,0.0,1.0,0.0
2,BBC,Sun May 06 19:01:07 +0000 2018,"Don't like plastic straws? 
👍🍝 Here's a genius solution... https://t.co/79fOaOmak3",-0.2755,0.0,0.791,0.209
3,BBC,Sun May 06 18:04:07 +0000 2018,"Thanks to new treatments, a breast cancer diagnosis is no longer the terrifying and hopeless prospect it once was. https://t.co/nosH2xPRAo",-0.8481,0.162,0.414,0.424
4,BBC,Sun May 06 17:33:00 +0000 2018,The UK loves a cup of tea. ☕ But are we ready for Kombucha? #TopOfTheShop https://t.co/rMEDCbMnE1,0.7351,0.341,0.659,0.0
5,BBC,Sun May 06 16:02:08 +0000 2018,"Enigmatic Escher: Early works by the artist like no other.
👉 https://t.co/502kn9Kbjb https://t.co/55j3P86gFe",0.0772,0.17,0.68,0.15
6,BBC,Sun May 06 15:04:02 +0000 2018,Autism is not stopping this man from keeping the public safe. https://t.co/tdLWWDo2dz,0.5178,0.303,0.697,0.0
7,BBC,Sun May 06 14:33:00 +0000 2018,"🎹🏅 Lauren Zhang struck a chord with the @BBCYoungMus 
judges, taking out the keyboard category final. https://t.co/BVTQV90n4P",-0.25,0.0,0.882,0.118
8,BBC,Sun May 06 14:08:09 +0000 2018,"🤔 Is 'Schadenfreude' a happy or sad feeling? Which language has 15 words for fear?

Try your luck in this quiz of u… https://t.co/2ber8ul5pG",0.3094,0.269,0.534,0.198
9,BBC,Sun May 06 13:05:04 +0000 2018,"Scouse Brow is so on trend, scientists at the University of Liverpool have begun a study on it. https://t.co/daHPnCioiZ",0.0,0.0,1.0,0.0
10,BBC,Sun May 06 12:09:07 +0000 2018,"Pollution, construction and insect dung are said to be among the causes of the Taj Mahal changing colour. 
👉… https://t.co/Yk6hUcgZHJ",0.0,0.0,1.0,0.0
11,BBC,Sun May 06 11:01:02 +0000 2018,Voice recognition tools still have a long way to go to catch up to humans. https://t.co/hge3gjazi3,0.0,0.0,1.0,0.0
12,BBC,Sun May 06 10:08:03 +0000 2018,"🎀🎨 A hue now associated with innocence once had a murkier meaning. 

@BBC_Culture looks at the ways in which pink h… https://t.co/XlQjlVLxJi",0.3818,0.12,0.88,0.0
13,BBC,Sun May 06 09:03:03 +0000 2018,🌋 This mesmerising footage shows the lava lake overflowing in Hawaii's Kilauea volcano. https://t.co/xAujfSM2Rw,0.0,0.0,1.0,0.0
14,BBC,Sun May 06 08:25:29 +0000 2018,RT @BBCNews: Prince Louis and Princess Charlotte seen at home in new photos https://t.co/kfsoZlH50m,0.0,0.0,1.0,0.0
15,BBC,Sun May 06 08:06:03 +0000 2018,🍳🥚 Eggs are wonderfully versatile and perfect for whipping up fantastic meals in minutes. Try a flavourful frittata… https://t.co/ef4wA2oQpR,0.9042,0.427,0.573,0.0
16,BBC,Sun May 06 07:04:07 +0000 2018,🌊😲This is terrifying. https://t.co/wkL9EwcVxs,-0.5719,0.0,0.448,0.552
17,BBC,Sat May 05 19:05:07 +0000 2018,♻️ Making household gas from human waste. https://t.co/8AdUpQJ9Ho,-0.4215,0.0,0.714,0.286
18,BBC,Sat May 05 18:06:07 +0000 2018,Ashley Butterfield has been around the world - but a visit to India brought home the particular challenges of being… https://t.co/Idl70AX8x2,0.1154,0.075,0.925,0.0
19,BBC,Sat May 05 17:02:04 +0000 2018,"😭❤️ Making us proud. 

⛈ @SurieOfficial has recorded a sign language version of the UK's @BBCEurovision entry, Stor… https://t.co/7qDvBvReiy",0.4767,0.162,0.838,0.0
20,BBC,Mon May 07 08:03:04 +0000 2018,"From gut microbes to the time you eat, here are five potentially surprising factors that can affect your weight.
👉… https://t.co/HhOXDdIGI5",0.2732,0.095,0.905,0.0
21,BBC,Mon May 07 07:04:03 +0000 2018,"Meet Piers and Magdelena, a deaf couple who run their own B&amp;B. 🏠🍳❤️️

https://t.co/H2iArXnZex",0.0,0.0,1.0,0.0
22,BBC,Sun May 06 19:01:07 +0000 2018,"Don't like plastic straws? 
👍🍝 Here's a genius solution... https://t.co/79fOaOmak3",-0.2755,0.0,0.791,0.209
23,BBC,Sun May 06 18:04:07 +0000 2018,"Thanks to new treatments, a breast cancer diagnosis is no longer the terrifying and hopeless prospect it once was. https://t.co/nosH2xPRAo",-0.8481,0.162,0.414,0.424
24,BBC,Sun May 06 17:33:00 +0000 2018,The UK loves a cup of tea. ☕ But are we ready for Kombucha? #TopOfTheShop https://t.co/rMEDCbMnE1,0.7351,0.341,0.659,0.0
25,BBC,Sun May 06 16:02:08 +0000 2018,"Enigmatic Escher: Early works by the artist like no other.
👉 https://t.co/502kn9Kbjb https://t.co/55j3P86gFe",0.0772,0.17,0.68,0.15
26,BBC,Sun May 06 15:04:02 +0000 2018,Autism is not stopping this man from keeping the public safe. https://t.co/tdLWWDo2dz,0.5178,0.303,0.697,0.0
